country;year;gender;age;suicides_no;population;HDI_for_year;gdp_for_year;gdp_per_capital;generation
Albania;1997;male;25-34 years;36;236000;;2359903108;793;Generation X
Albania;1997;male;15-24 years;33;244400;;2359903108;793;Generation X
Albania;1997;male;75+ years;3;25400;;2359903108;793;G.I. Generation
Albania;1997;male;35-54 years;30;380800;;2359903108;793;Boomers
Albania;1997;female;15-24 years;21;294000;;2359903108;793;Generation X
Albania;1997;male;55-74 years;12;180300;;2359903108;793;Silent
Albania;1997;female;25-34 years;16;273900;;2359903108;793;Generation X
Albania;1997;female;75+ years;2;42100;;2359903108;793;G.I. Generation
Albania;1997;female;35-54 years;7;370100;;2359903108;793;Boomers
Albania;1997;female;5-14 years;6;361800;;2359903108;793;Millenials
Albania;1997;male;5-14 years;4;381500;;2359903108;793;Millenials
Albania;1997;female;55-74 years;0;187000;;2359903108;793;Silent
Albania;1998;male;75+ years;3;25800;;2707123772;899;G.I. Generation
Albania;1998;male;15-24 years;27;248800;;2707123772;899;Generation X
Albania;1998;female;15-24 years;32;295600;;2707123772;899;Generation X
Albania;1998;male;25-34 years;26;240400;;2707123772;899;Generation X
Albania;1998;male;35-54 years;29;388200;;2707123772;899;Boomers
Albania;1998;male;55-74 years;9;183800;;2707123772;899;Silent
Albania;1998;female;25-34 years;10;275300;;2707123772;899;Generation X
Albania;1998;female;55-74 years;6;188200;;2707123772;899;Silent
Albania;1998;female;35-54 years;9;372100;;2707123772;899;Boomers
Albania;1998;male;5-14 years;2;388400;;2707123772;899;Millenials
Albania;1998;female;5-14 years;1;363800;;2707123772;899;Millenials
Albania;1998;female;75+ years;0;42300;;2707123772;899;G.I. Generation
Albania;1999;male;75+ years;3;25900;;3414760915;1127;G.I. Generation
Albania;1999;male;15-24 years;24;250600;;3414760915;1127;Generation X
Albania;1999;female;75+ years;4;42400;;3414760915;1127;G.I. Generation
Albania;1999;male;35-54 years;31;391100;;3414760915;1127;Boomers
Albania;1999;male;25-34 years;19;242300;;3414760915;1127;Generation X
Albania;1999;male;55-74 years;14;185200;;3414760915;1127;Silent
Albania;1999;female;15-24 years;19;296800;;3414760915;1127;Generation X
Albania;1999;female;25-34 years;13;276500;;3414760915;1127;Generation X
Albania;1999;female;55-74 years;6;188800;;3414760915;1127;Silent
Albania;1999;female;35-54 years;5;373600;;3414760915;1127;Boomers
Albania;1999;female;5-14 years;1;365200;;3414760915;1127;Millenials
Albania;1999;male;5-14 years;0;391300;;3414760915;1127;Millenials
Albania;2000;male;25-34 years;17;232000;0.656;3632043908;1299;Generation X
Albania;2000;male;55-74 years;10;177400;0.656;3632043908;1299;Silent
Albania;2000;female;75+ years;2;37800;0.656;3632043908;1299;G.I. Generation
Albania;2000;male;75+ years;1;24900;0.656;3632043908;1299;G.I. Generation
Albania;2000;female;15-24 years;6;263900;0.656;3632043908;1299;Generation X
Albania;2000;male;15-24 years;5;240000;0.656;3632043908;1299;Generation X
Albania;2000;female;35-54 years;5;332200;0.656;3632043908;1299;Boomers
Albania;2000;female;25-34 years;3;245800;0.656;3632043908;1299;Generation X
Albania;2000;male;35-54 years;4;374700;0.656;3632043908;1299;Boomers
Albania;2000;male;5-14 years;1;374900;0.656;3632043908;1299;Millenials
Albania;2000;female;5-14 years;0;324700;0.656;3632043908;1299;Millenials
Albania;2000;female;55-74 years;0;168000;0.656;3632043908;1299;Silent
