country;year;gender;age;suicides_no;population;HDI_for_year;gdp_for_year;gdp_per_capital;generation
Australia;2004;female;15-24 years;84;1364452;;611904253806;32454;Millenials
Latvia;2009;male;25-34 years;84;149365;;26169854045;12890;Generation X
Austria;2011;male;15-24 years;84;518095;0.881;431120310089;53923;Millenials
Belgium;2011;female;75+ years;84;593364;0.886;527008453887;50893;Silent
Lithuania;2011;female;35-54 years;84;460566;0.831;43476873413;15097;Generation X
Portugal;2014;female;75+ years;84;633908;0.83;229629822122;23091;Silent
Lithuania;2015;male;75+ years;84;79672;;41508609233;15073;Silent
Greece;1997;male;25-34 years;84;827622;;143157600025;13968;Generation X
Italy;1997;female;15-24 years;84;3706781;;1239050932242;22869;Generation X
Poland;1999;female;75+ years;83;1096400;;169717677901;4640;G.I. Generation
Poland;2002;female;25-34 years;83;2648168;;198680637255;5466;Generation X
Sweden;2005;male;15-24 years;83;569180;0.892;389042298377;45563;Millenials
Australia;2006;female;15-24 years;83;1388615;;745521862833;39014;Millenials
Austria;2009;female;75+ years;83;430726;;400172297861;50356;Silent
Lithuania;2011;female;55-74 years;83;378929;0.831;43476873413;15097;Boomers
Italy;2012;female;25-34 years;83;3504130;0.872;2072823157060;36497;Millenials
Belgium;1997;female;75+ years;83;443094;;254813599459;26609;G.I. Generation
Belgium;2000;female;25-34 years;83;711759;0.874;237904919845;24592;Generation X
Estonia;2003;male;55-74 years;83;116230;;9833870709;7523;Silent
Australia;2004;female;55-74 years;83;1741477;;611904253806;32454;Silent
Belgium;2005;female;75+ years;83;537786;0.866;387365750529;39124;Silent
Sweden;2007;male;15-24 years;82;604397;;487816328342;56531;Millenials
Belgium;2008;female;75+ years;82;574334;;518625897173;51345;Silent
Sweden;2015;male;15-24 years;82;621210;;497918109302;54629;Millenials
Spain;1997;female;15-24 years;82;3042300;;588692045455;15738;Generation X
Australia;1999;female;15-24 years;82;1277560;;388395162301;22016;Generation X
Lithuania;2006;female;35-54 years;82;488597;;30216060233;9667;Boomers
United Kingdom;2007;female;15-24 years;82;3963103;;3074359743898;53576;Millenials
Italy;2009;female;25-34 years;81;3872976;;2185160183384;38101;Generation X
Spain;2011;female;25-34 years;81;3430347;0.87;1488067258325;34097;Millenials
United Kingdom;2011;female;75+ years;81;2973876;0.901;2619700404733;44491;Silent
United Kingdom;2012;female;15-24 years;81;4054017;0.901;2662085168499;44585;Millenials
Austria;2015;female;75+ years;81;461676;;382065930308;46484;Silent
Greece;2015;male;75+ years;81;495592;;195541761243;18927;Silent
Sweden;2016;male;15-24 years;81;605396;;514459972806;55594;Millenials
Latvia;2002;male;25-34 years;81;158594;;9546441564;4311;Generation X
Poland;2005;female;15-24 years;81;3056685;0.805;306125173853;8417;Millenials
Poland;2007;female;25-34 years;81;2973164;;429063549984;11816;Generation X
Portugal;2007;male;25-34 years;81;786823;;240169336162;24003;Generation X
Estonia;2008;male;35-54 years;81;179930;;24194039256;19141;Boomers
Greece;2008;male;55-74 years;80;1154680;;354460802549;33168;Silent
Greece;2014;male;75+ years;80;487215;0.865;237029579261;22834;Silent
Poland;2014;female;15-24 years;80;2256197;0.843;545179584720;15119;Millenials
Poland;2015;female;25-34 years;80;2931931;;477355617456;13228;Millenials
Greece;1997;male;55-74 years;80;1072438;;143157600025;13968;Silent
United Kingdom;2001;female;15-24 years;80;3581981;;1621510004318;29179;Millenials
Latvia;2003;male;25-34 years;80;157209;;11748433157;5364;Generation X
Lithuania;2003;female;55-74 years;79;396850;;18802576988;5778;Silent
Austria;2008;female;75+ years;79;430534;;430294287388;54294;Silent
Austria;2009;male;15-24 years;79;519901;;400172297861;50356;Millenials
Lithuania;2010;female;35-54 years;79;471491;0.827;37120517694;12584;Generation X
Portugal;2010;female;35-54 years;79;1588670;0.819;238303443425;23673;Generation X
Poland;2013;female;25-34 years;79;3014277;0.84;524234322597;14552;Millenials
Lithuania;2014;male;75+ years;78;78763;0.839;48516371721;17442;Silent
Austria;2004;female;75+ years;78;416777;;300904221505;38711;Silent
Estonia;2004;male;55-74 years;78;116415;;12059201242;9293;Silent
Lithuania;2004;female;55-74 years;78;395331;;22649930576;7028;Silent
Estonia;2006;male;35-54 years;78;180705;;16963625016;13264;Boomers
Sweden;2006;male;15-24 years;78;586123;;420032121656;48977;Millenials
Poland;2007;female;15-24 years;78;2937109;;429063549984;11816;Millenials
Belgium;2013;female;75+ years;77;605856;0.888;520925468953;49489;Silent
Australia;1999;female;55-74 years;77;1516348;;388395162301;22016;Silent
Poland;1999;female;25-34 years;77;2523100;;169717677901;4640;Generation X
Estonia;2002;male;55-74 years;77;116560;;7322069511;5561;Silent
Lithuania;2002;female;35-54 years;76;498421;;14278357284;4360;Boomers
Australia;2006;female;25-34 years;76;1444570;;745521862833;39014;Generation X
United Kingdom;2006;female;15-24 years;76;3911869;;2692612695492;47163;Millenials
Latvia;2008;male;25-34 years;76;151948;;35596016664;17217;Generation X
Poland;2008;female;25-34 years;76;3034314;;533815789474;14721;Generation X
Portugal;2009;male;25-34 years;76;752496;;243745748819;24254;Generation X
Portugal;2009;female;55-74 years;76;1234820;;243745748819;24254;Silent
Lithuania;2011;male;15-24 years;75;217769;0.831;43476873413;15097;Millenials
Lithuania;2012;female;35-54 years;75;451819;0.833;42848195256;15099;Generation X
Spain;2012;female;25-34 years;75;3332672;0.874;1336018949806;30146;Millenials
Greece;2004;male;55-74 years;75;1133084;;240521260988;22804;Silent
Poland;2005;female;75+ years;75;1406954;0.805;306125173853;8417;Silent
Greece;2007;male;55-74 years;75;1149577;;318497936901;29896;Silent
Portugal;2007;female;35-54 years;75;1535559;;240169336162;24003;Boomers
Portugal;2008;male;25-34 years;75;772208;;262007590450;26121;Generation X
Poland;2009;female;15-24 years;75;2740576;;439796160379;12141;Millenials
Austria;2013;male;25-34 years;74;563630;0.884;430068712972;53229;Millenials
